label,samples
motion_solver.joint_of_pose [ms], 33 28 5 1 34 47 5 37 51 8 39 41 5 37 42 7 46 41 13 36 43 14 49 50 13 42 50 17 39 52 20 33 48 26 43 61 19 41 61 15 49 42 20 45 42 13 50 48 20 55 53 20 43 47 19 48 49 15 46 52 14 45 55 19 45 43 22 41 36 19 44 37 18 40 31 19 37 23 8 38 17 7 52 11 7 40 13 8 44 13 9 45 21 12 46 20 7 38 26 10 36 28 6 44 21 7 47 32 7 36 31 6 31 31 6 34 34 11 41 37 13 30 37 10 33 42 13 33 49 8 36 38 12 36 43 8 46 35 9 42 14 12 44 11 11 54 5 15 47 3 14 51 6 9 61 15 12 58 9 8 50 10 8 56 17 9 73 26 9 54 12 10 52 11 10 49 22 13 63 21 8 59 23 8 60 33 8 64 42 10 61 64 11 71 66 14 71 64 13 55 84 16 62 79 19 60 82 19 55 68 6 63 79 6 53 78 11 54 68 7 43 63 14 59 58 15 62 54 14 53 38 17 54 27 17 49 9 14 52 7 15 62 3 10 54 1 10 50 2 16 51 2 13 41 2 18 41 1 14 39 1 16 37 1 15 40 1 16 44 1 9 35 0 17 33 14 35 9
motion_solver.joint_of_pose_num_vars_all, 322 456 86 15 353 420 80 382 453 123 368 425 83 392 437 114 407 436 125 452 439 134 494 449 156 406 512 165 394 532 191 344 500 230 380 498 234 405 503 226 488 437 207 464 428 196 471 493 199 468 457 207 444 476 195 425 509 149 460 533 167 449 547 184 430 452 193 428 438 192 447 382 181 480 319 185 371 233 118 325 262 112 376 176 109 403 204 118 447 203 106 462 211 121 468 242 106 393 259 98 375 291 104 428 328 115 409 324 104 376 323 92 323 376 91 348 344 107 351 371 121 305 384 121 285 433 120 320 487 127 365 474 152 370 441 118 408 357 103 429 207 121 453 131 132 479 68 154 494 43 139 531 91 113 540 145 117 517 143 132 503 151 122 513 237 106 525 215 101 473 196 116 459 175 121 500 191 132 546 207 127 605 226 125 609 341 117 663 428 117 628 573 137 617 586 130 629 658 128 554 746 159 548 700 163 621 737 186 580 718 97 554 717 98 557 698 113 479 613 118 536 570 139 617 513 155 552 490 145 556 340 152 558 282 160 505 144 174 544 109 157 546 51 155 485 23 150 506 26 148 450 28 132 423 26 152 436 25 165 398 23 159 378 18 149 409 22 158 392 20 149 362 8 144 336 140 350 134
motion_solver.joint_of_pose_num_vars_inliers, 322 456 86 15 353 420 80 382 453 123 368 425 83 392 437 114 407 436 125 452 439 134 494 449 156 406 512 165 394 532 191 344 500 230 380 498 234 405 503 226 488 437 207 464 428 196 471 493 199 468 457 207 444 476 195 425 509 149 460 533 167 449 547 184 430 452 193 428 438 192 447 382 181 480 319 185 371 233 118 325 262 112 376 176 109 403 204 118 447 203 106 462 211 121 468 242 106 393 259 98 375 291 104 428 328 115 409 324 104 376 323 92 323 376 91 348 344 107 351 371 121 305 384 121 285 433 120 320 487 127 365 474 152 370 441 118 408 357 103 429 207 121 453 131 132 479 68 154 494 43 139 531 91 113 540 145 117 517 143 132 503 151 122 513 237 106 525 215 101 473 196 116 459 175 121 500 191 132 546 207 127 605 226 125 609 341 117 663 428 117 628 573 137 617 586 130 629 658 128 554 746 159 548 700 163 621 737 186 580 718 97 554 717 98 557 698 113 479 613 118 536 570 139 617 513 155 552 490 145 556 340 152 558 282 160 505 144 174 544 109 157 546 51 155 485 23 150 506 26 148 450 28 132 423 26 152 436 25 165 398 23 159 378 18 149 409 22 158 392 20 149 362 8 144 336 140 350 134
motion_solver.object_nlo_refinement [ms], 191 32 5 137 25 159 45 131 24 100 32 160 39 236 63 156 47 168 67 190 66 139 72 161 63 192 95 163 76 177 80 274 87 170 111 253 71 121 45 124 65 173 73 139 160 160 87 133 79 62 94 78 66 120 41 62 43 59 45 43 34 77 40 180 41 92 41 77 35 150 47 105 55 158 38 131 28 123 37 96 60 106 32 101 49 134 33 194 46 123 42 179 22 46 39 52 33 26 42 13 47 34 40 36 30 31 38 72 44 73 42 60 32 53 34 35 31 41 44 55 39 57 43 204 33 104 28 158 39 175 56 201 35 294 47 270 44 251 63 261 27 196 30 260 29 672 28 233 48 219 28 181 58 120 48 57 58 61 58 52 77 24 42 8 50 9 50 8 72 8 41 10 49 8 45 6 41 7 31 9 35 3 63 44 35
motion_solver.object_nlo_refinement_num_vars_all, 913 173 31 841 161 907 247 851 167 875 229 873 251 879 269 899 313 1025 331 1065 383 1001 461 997 469 1007 453 875 415 857 393 987 399 915 415 953 391 1019 299 1067 335 1095 369 905 387 877 385 765 363 639 371 467 237 525 225 353 219 409 237 407 213 423 243 485 213 519 197 583 209 657 231 649 209 647 185 753 183 689 215 743 243 769 243 867 241 975 255 949 305 883 237 715 207 415 243 263 265 137 309 87 279 183 227 291 235 287 265 303 245 475 213 431 203 393 233 351 243 381 265 415 255 453 251 683 235 857 235 1147 275 1173 261 1317 257 1493 319 1401 327 1475 373 1437 195 1435 197 1397 227 1227 237 1141 279 1027 311 981 291 681 305 565 321 289 349 219 315 103 311 47 301 53 297 57 265 53 305 51 331 47 319 37 299 45 317 41 299 17 289 281 269
motion_solver.object_solve3d2d [ms], 231 47 8 192 33 0 220 57 182 34 151 43 210 56 289 81 216 65 228 88 255 91 198 104 233 88 264 115 215 103 228 99 333 113 233 137 310 96 181 66 187 84 239 97 193 187 206 112 180 103 101 118 108 79 0 144 53 80 54 77 56 62 47 103 56 206 53 124 55 112 45 178 58 145 66 196 48 170 38 165 51 141 77 152 45 151 65 193 45 242 63 175 54 222 35 65 56 67 48 34 61 18 65 42 53 55 45 46 51 88 56 97 55 94 45 71 48 52 45 68 62 81 51 85 55 246 44 155 42 235 56 254 75 277 53 393 70 363 69 347 88 344 37 289 40 351 44 753 39 307 66 287 48 245 77 166 69 92 79 77 76 62 97 32 56 12 64 12 71 11 89 11 63 13 66 11 65 8 59 10 51 11 48 5 83 0 61 0 48
motion_solver.solve_3d2d [ms], 4 4 5 0 4 2 0 0 3 3 1 5 2 1 3 3 1 3 3 1 3 3 1 3 3 1 5 3 1 3 4 1 4 3 1 3 3 1 4 3 1 3 3 1 4 2 1 4 3 2 4 3 1 3 3 1 4 3 1 3 3 1 4 3 1 3 3 1 4 2 1 3 3 1 4 2 1 4 2 2 0 3 2 1 3 2 1 3 1 1 4 1 1 4 1 1 4 1 1 4 1 1 4 2 0 4 2 1 4 2 1 4 2 1 4 2 0 3 2 0 3 2 0 3 2 1 3 2 0 3 2 1 4 2 0 3 2 1 3 2 1 3 1 0 3 1 0 3 1 0 3 0 1 3 0 1 3 1 0 3 2 1 3 1 1 3 2 0 3 3 0 3 1 1 3 1 1 4 1 1 4 1 0 4 1 0 4 2 0 5 2 0 4 3 2 4 3 0 4 3 1 5 4 1 4 4 1 4 4 1 4 4 0 4 3 0 4 4 0 4 3 0 3 3 1 4 3 1 5 2 1 4 2 1 4 2 1 4 3 1 4 1 1 4 2 1 5 1 1 4 0 1 4 0 1 4 0 0 4 0 1 4 0 1 3 0 0 3 0 0 4 0 1 3 0 0 4 0 0 3 0 0
pipeline_spin [ms], 58 106 501 438 503 434 414 498 599 551 567 593 556 609 654 605 605 748 661 694 532 572 6309 678 627 598 521 478 476 429 426 404 451 560 482 449 552 533 5314 514 533 537 517 545 576 649 574 598 449 449 438 405 424 448 4515 494 510 518 476 464 498 516 523 682 605 715 763 770 906 881 5993 812 781 837 1227 798 785 777 670 602 570 578 516 501 502 510 5912 489 483 465 465 468 487 471 399 0
rgbd_motion_world.dyn_object_affected [ms], 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
rgbd_motion_world.dyn_point_update_1 [ms], 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
